name,url,institutions,countries,country
Mohamed Almorsy Abdelrazek,https://dl.acm.org/profile/99659003381,['Deakin University'],['Australia'],Australia
John C. Grundy,https://dl.acm.org/profile/81100261843,"['Monash University', 'Deakin University', 'Swinburne University of Technology', 'The University of Auckland']","['Australia', 'Australia', 'Australia', 'New Zealand']",Australia
Yaru Du,https://dl.acm.org/profile/99659289556,,,
Liang Zhou,https://dl.acm.org/profile/99659493271,"['The University of Utah', 'University of Stuttgart']","['United States', 'Germany']",United States
Hansjörg Schmauder,https://dl.acm.org/profile/81490688158,['University of Stuttgart'],['Germany'],Germany
Xiaoyu Wang,https://dl.acm.org/profile/99659256604,['The University of Texas at Dallas'],['United States'],United States
Yufeng Liu,https://dl.acm.org/profile/99659194249,['Hohai University'],['China'],China
Jie Li,https://dl.acm.org/profile/99658620368,"['Tianjin University', 'Nanjing University']","['China', 'China']",China
K. Zhang,https://dl.acm.org/profile/81350576955,"['The University of Texas at Dallas', 'Tianjin University', 'IEEE']","['United States', 'China', 'United States']",United States
Daniil Rodin,https://dl.acm.org/profile/99659291201,['Technion - Israel Institute of Technology'],['Israel'],Israel
Gershon Elber,https://dl.acm.org/profile/81100400502,"['Technion - Israel Institute of Technology', 'IEEE', 'The University of Utah']","['Israel', 'United States', 'United States']",Israel
Mehmood Ghaffar,https://dl.acm.org/profile/99659292007,['Bielefeld University'],['Germany'],Germany
Niklas Biere,https://dl.acm.org/profile/99659292087,['Bielefeld University'],['Germany'],Germany
Daniel Jäger,https://dl.acm.org/profile/99659290368,['Bielefeld University'],['Germany'],Germany
Karsten Klein,https://dl.acm.org/profile/81100141840,"['Monash University', 'University of Konstanz', 'The University of Sydney', 'Technical University Dortmund']","['Australia', 'Germany', 'Australia', 'Germany']",Australia
Falk Schreiber,https://dl.acm.org/profile/81100087062,"['University of Konstanz', 'Monash University', 'Martin Luther University of Halle-Wittenberg']","['Germany', 'Australia', 'Germany']",Germany
Olaf Kruse,https://dl.acm.org/profile/99659291490,['Bielefeld University'],['Germany'],Germany
Björn Sommer,https://dl.acm.org/profile/99658771476,"['Royal College of Art', 'University of Konstanz', 'Monash University', 'Bielefeld University']","['U.K.', 'Germany', 'Australia', 'Germany']",U.K.
Luca Marzialetti,https://dl.acm.org/profile/99659289305,['Roma Tre University'],['Italy'],Italy
Massimo Candela,https://dl.acm.org/profile/99659290958,['University of Pisa'],['Italy'],Italy
Giuseppe Di Battista,https://dl.acm.org/profile/81100464555,"['Roma Tre University', 'Basilicata University Potenza', 'Sapienza University of Rome']","['Italy', 'Italy', 'Italy']",Italy
Gerald Baulig,https://dl.acm.org/profile/99659291294,,,
Tobias Boley,https://dl.acm.org/profile/99659292088,,,
Arjana Mehmeti,https://dl.acm.org/profile/99659290889,,,
Dina Kurbanismailova,https://dl.acm.org/profile/99659291964,,,
Marc Roswag,https://dl.acm.org/profile/99659291329,,,
Oliver Streicher,https://dl.acm.org/profile/99659292148,,,
Steffen Wittig,https://dl.acm.org/profile/99659289339,,,
Nico Reski,https://dl.acm.org/profile/99658638708,"['Linnaeus University, Växjö']",['Sweden'],Sweden
Aris Alissandrakis,https://dl.acm.org/profile/81310502395,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Hertfordshire']","['Sweden', 'Sweden', 'U.K.']",Sweden
Kostiantyn Kucher,https://dl.acm.org/profile/81486656627,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden
Rafael Messias Martins,https://dl.acm.org/profile/99659192192,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden
Andreas Kerren,https://dl.acm.org/profile/81100367883,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Kaiserslautern', 'Vienna University of Technology']","['Sweden', 'Sweden', 'Germany', 'Austria']",Sweden
Maria Skeppstedt,https://dl.acm.org/profile/81470654834,"['University of Potsdam', 'Stockholm University']","['Germany', 'Sweden']",Germany
Alisa Lincke,https://dl.acm.org/profile/99659291514,"['Linnaeus University, Växjö']",['Sweden'],Sweden
Jenny Lundberg,https://dl.acm.org/profile/81100336369,['Blekinge Institute of Technology'],['Sweden'],Sweden
Maria Thunander,https://dl.acm.org/profile/99659289733,['Lund University'],['Sweden'],Sweden
Marcelo Milrad,https://dl.acm.org/profile/81100334854,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden
Jonas Lundberg,https://dl.acm.org/profile/81339515283,"['Linköping University', 'Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden', 'Sweden']",Sweden
Daniel Toll,https://dl.acm.org/profile/81501663475,"['Linnaeus University, Kalmar']",['Sweden'],Sweden
Anna Wingkvist,https://dl.acm.org/profile/81442618410,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden
Tomohiro Kawanabe,https://dl.acm.org/profile/99659292129,['Riken'],['Japan'],Japan
Jorji Nonaka,https://dl.acm.org/profile/81100125090,"['Riken', 'Kyoto University']","['Japan', 'Japan']",Japan
Kenji Ono,https://dl.acm.org/profile/81100261727,"['Kyushu University', 'Riken', 'Toshiba Corporation']","['Japan', 'Japan', 'Japan']",Japan
Tu Xing,https://dl.acm.org/profile/99659291920,['Shenzhen University'],['China'],China
Anna Sara Fagerholm,https://dl.acm.org/profile/99659290153,['Mid Sweden University'],['Sweden'],Sweden
Mattias Andersson,https://dl.acm.org/profile/81496672621,['Mid Sweden University'],['Sweden'],Sweden
Björn Zimmer,https://dl.acm.org/profile/81482662429,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Linnaeus University, Växjö', 'Hannover University of Applied Sciences']","['Austria', 'Sweden', 'Germany']",Austria
Jan Zenisek,https://dl.acm.org/profile/99659185142,"['University of Applied Sciences Upper Austria, Wels', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'University of Applied Sciences Upper Austria, School of Management']","['Austria', 'Austria', 'Austria']",Austria
Hans-Christian Jetter,https://dl.acm.org/profile/81361609796,['University of Lübeck'],['Germany'],Germany
Hyunwoo Han,https://dl.acm.org/profile/99658768907,['Ajou University'],['South Korea'],South Korea
Taerin Yoon,https://dl.acm.org/profile/99659290729,['Ajou University'],['South Korea'],South Korea
Hyeonsik Gong,https://dl.acm.org/profile/99659288906,['Ajou University'],['South Korea'],South Korea
Kyungwon Lee,https://dl.acm.org/profile/81458652821,['Ajou University'],['South Korea'],South Korea
Zana Vosough,https://dl.acm.org/profile/99659194221,"['SAP AG', 'Technische Universität Dresden']","['Germany', 'Germany']",Germany
Dietrich Kammer,https://dl.acm.org/profile/81479656070,"['Dresden University of Applied Sciences', 'Technische Universität Dresden']","['Germany', 'Germany']",Germany
Mandy Keck,https://dl.acm.org/profile/81479645196,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Technische Universität Dresden']","['Austria', 'Germany']",Austria
Rainer Groh,https://dl.acm.org/profile/81372593345,['Technische Universität Dresden'],['Germany'],Germany
Fangfang Zhou,https://dl.acm.org/profile/81549260756,['Central South University'],['China'],China
Minghui Chen,https://dl.acm.org/profile/99659194235,['Central South University'],['China'],China
Zeyu Wang,https://dl.acm.org/profile/99659194186,['Central South University'],['China'],China
Feng Luo,https://dl.acm.org/profile/99659194127,['Central South University'],['China'],China
Xiaobo Luo,https://dl.acm.org/profile/99659194176,['Central South University'],['China'],China
Wei Huang,https://dl.acm.org/profile/99659194273,['Central South University'],['China'],China
Yi Chen,https://dl.acm.org/profile/81490680300,['Beijing Technology and Business University'],['China'],China
Ying Zhao,https://dl.acm.org/profile/81549278756,['Central South University'],['China'],China
Yang Zou,https://dl.acm.org/profile/99659194214,['Hohai University'],['China'],China
