author_id,author_name,coauthor_id,coauthor_name,self_citation,paper_doi,paper_title,parent_doi,parent_title
317,Pengju Ma,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
317,Pengju Ma,442,Cristina M Caperchione,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
317,Pengju Ma,443,Richard R Rosenkranz,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
317,Pengju Ma,444,Anetta Van Itallie,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
317,Pengju Ma,445,W Kerry Mummery,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,435,Andrew S Brunker,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,273,Quang Vinh Nguyen,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,436,Anthony J Maeder,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,437,Rhys Tague,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,438,Gregory S Kolt,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,439,Trevor N Savage,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,440,Corneel Vandelanotte,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,442,Cristina M Caperchione,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,443,Richard R Rosenkranz,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,444,Anetta Van Itallie,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
318,Shijie Tang,445,W Kerry Mummery,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,435,Andrew S Brunker,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,273,Quang Vinh Nguyen,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,436,Anthony J Maeder,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,437,Rhys Tague,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,438,Gregory S Kolt,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,439,Trevor N Savage,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,440,Corneel Vandelanotte,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,442,Cristina M Caperchione,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,443,Richard R Rosenkranz,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,444,Anetta Van Itallie,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
319,Zhipeng Fang,445,W Kerry Mummery,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,435,Andrew S Brunker,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,273,Quang Vinh Nguyen,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,436,Anthony J Maeder,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,437,Rhys Tague,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,438,Gregory S Kolt,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,439,Trevor N Savage,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,440,Corneel Vandelanotte,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,442,Cristina M Caperchione,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,443,Richard R Rosenkranz,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,444,Anetta Van Itallie,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
320,Xuan Li,445,W Kerry Mummery,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,435,Andrew S Brunker,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,273,Quang Vinh Nguyen,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
321,Tianjian Chen,436,Anthony J Maeder,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
