name,institutions
Yuri Sato,['University of Brighton']
Mateja Jamnik,"['University of Cambridge', 'Department of Computer Science and Technology', 'The University of Edinburgh']"
Zohreh Shams,"['University of Bath', 'University of Cambridge']"
Andrew Blake,['University of Brighton']
Francesco Paduano,['University of Illinois at Chicago']
Ronak Etemadpour,"['City University of New York', 'Oklahoma State University - Stillwater', 'Oklahoma State University System', 'Jacobs University Bremen']"
Angus Graeme Forbes,"['University of California, Santa Cruz', 'Purdue University', 'University of Illinois at Chicago', 'The University of Arizona', '+ 1']"
Yun Wang,['Hong Kong University of Science and Technology']
Dongyu Liu,"['Massachusetts Institute of Technology', 'Hong Kong University of Science and Technology']"
Huamin Qu,"['Hong Kong University of Science and Technology', 'IEEE']"
Qiong Luo,"['Hong Kong University of Science and Technology', 'Tsinghua University']"
Xiaojuan Ma,"['Hong Kong University of Science and Technology', 'University of Michigan, Ann Arbor', '+ 2']"
Yang Shi,"['Tongji University', 'Central South University']"
Yaoxue Zhang,"['Tsinghua University', 'Central South University']"
Guojun Wang,"['Guangzhou University', 'Central South University', 'Temple University', 'The University of Aizu', 'Hong Kong Polytechnic University']"
Ronghua Shi,['Central South University']
Xing Liang,['Arizona State University']
Rainer C Splechtna,"['VRVis Research Center', 'University of Maryland, College Park (UMD)']"
Alexandra Diehl,"['University of Konstanz', 'University of Buenos Aires', 'University of Maryland, College Park (UMD)']"
Mai H Elshehaly,"['Virginia Polytechnic Institute and State University', 'University of Maryland, College Park (UMD)', 'University of Maryland, Baltimore (UMB)']"
Claudio A Delrieux,"['South National University', 'University of Maryland, College Park (UMD)']"
Denis Gracanin,"['Virginia Polytechnic Institute and State University', 'University of Maryland, College Park (UMD)', '+ 4']"
Krešimir Matković,"['VRVis Research Center', 'University of Maryland, College Park (UMD)', 'IEEE']"
Kouhei Yasuda,['The University of Tokyo']
Shigeo Takahashi,"['The University of Aizu', 'The University of Tokyo', 'IEEE']"
Hsiangyun Wu,"['Vienna University of Technology', 'Keio University', 'The University of Tokyo']"
Simeon J Simoff,"['Western Sydney University', 'The MARCS Institute for Brain, Behaviour and Development', '+ 1']"
Yu Qian,"['J. Craig Venter Institute', 'The University of Texas at Dallas']"
Martin Röhlig,['University of Rostock']
H. Schumann,['University of Rostock']
Ruth West,"['University of North Texas', 'University of California, Los Angeles', 'University of California, San Diego']"
Meghan Kajihara,['University of North Texas']
Max Parola,['University of North Texas']
Kathryn Hays,['University of North Texas']
Luke Hillard,['University of North Texas']
Anne Carlew,['University of North Texas']
Jeremey Deutsch,['University of North Texas']
Brandon Lane,['University of North Texas']
Michelle Holloway,['Washington University in St. Louis']
Brendan John,"['University of Florida', 'Rochester Institute of Technology']"
Anahita Sanandaji,['Oregon State University']
Cindy Marie Grimm,"['Oregon State University', 'Washington University in St. Louis', 'Texas A&M University', 'University of Central Florida', 'IEEE', '+ 2']"
Zheng Huang,['North Dakota State University']
Jed Limke,['North Dakota State University']
Jun Kong,"['North Dakota State University', 'The University of Texas at Dallas']"
Muye Yang,['University of Macau']
Yina Li,['Nankai University']
Dongjin Li,['Nankai University']
Casey Haber,['University of San Francisco']
Lyndonong Yiu,['University of San Francisco']
Alark Joshi,"['University of San Francisco', 'Yale University', 'University of Maryland, Baltimore County (UMBC)', 'IEEE']"
Sophie Engle,"['University of San Francisco', 'University of California, Davis']"
Hui Lei,['Changsha University of Science and Technology']
Cong Xie,['Stony Brook University']
Pingping Shang,"['State Key Lab of CAD&CG, Zhejiang University']"
Fan Zhang,"['Massachusetts Institute of Technology', 'Zhejiang University of Technology']"
Weri Chen,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Qunsheng Peng,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Tobias Ruppert,['Fraunhofer Institute for Computer Graphics Research IGD']
Andreas Bannach,['Fraunhofer Institute for Computer Graphics Research IGD']
Jürgen Bernard,"['University of Zurich', 'The University of British Columbia', 'Fraunhofer Institute for Computer Graphics Research IGD', '+ 1']"
Hendrik Lücke-Tieke,"['Fraunhofer Institute for Computer Graphics Research IGD', 'Athena Research and Innovation Center in Information, Communication and Knowledge Technologies']"
Alex Ulmer,['Fraunhofer Institute for Computer Graphics Research IGD']
Jörn Kohlhammer,"['Fraunhofer Institute for Computer Graphics Research IGD', 'Technical University of Darmstadt']"
Jiangen He,"['Drexel University', 'University of Maryland, College Park (UMD)']"
Chaomei Chen,"['Drexel University', 'Dalian University of Technology', 'Brunel University London', 'Glasgow Caledonian University', '+ 1']"
Wenqian Ji,['Hohai University']
Yan Tang,['Hohai University']
Pengju Ma,['Hohai University']
Shijie Tang,['Hohai University']
Zhipeng Fang,['Hohai University']
Xuan Li,"['Baidu, Inc.']"
Tianjian Chen,"['Baidu, Inc.']"
Lina Zhang,"['State Key Lab of CAD&CG, Zhejiang University']"
Kwan-Liu Ma,"['University of California, Davis', 'IEEE', 'NASA Langley Research Center', 'The University of Utah']"
Jinhui Yu,"['State Key Lab of CAD&CG, Zhejiang University']"
Lu Xiong,['Tianjin University']
Kai Sun,['Shanghai University']
Zongchao Guo,['Shanghai University']
Iliesa S Delai,['Brigham Young University Hawaii']
Meilan Jin,['Brigham Young University']
Geoffrey M Draper,"['Brigham Young University Hawaii', 'The University of Utah']"
Seimei Matsusaki,['University of San Francisco']
Xi Han,['University of San Francisco']
Xin Kang,"['Ningbo University of Technology', 'Peking University', 'National Taipei University of Technology', 'Beijing University of Technology']"
Yinan Li,['Southeast University']
Jian Wang,['Southeast University']
Daniel Wilches,['University of Wyoming']
Amy Banić,['University of Wyoming']
Sarah Hong,[]
Yuyi Liu,[]
Zhao Xiao,"['Tianjin University', 'East China Normal University']"
Jie Wu,['Tongji University']
Guangxi Chen,['Tongji University']
Wang Qian,['Shanghai Jiao Tong University']
Xiao Bing,['Shanghai Jiao Tong University']
Vetria Laverne Byrd,"['Purdue University', 'The University of Alabama at Birmingham']"
Joseph A Cottam,"['Pacific Northwest National Laboratory', 'Indiana University Bloomington']"
Koji Kainou,['University of Tsukuba']
Hotaka Takizawa,"['University of Tsukuba', 'Toyohashi University of Technology']"
Mayumi Aoyagi,['Aichi University of Education']
Nobuo Ezaki,"['National Institute of Technology, Toba College']"
Shinji Mizuno,"['Aichi Institute of Technology', 'Toyohashi University of Technology']"
Christoph Müller,['University of Stuttgart']
Guido Reina,['University of Stuttgart']
Thomas Ertl,"['University of Stuttgart', '+ 3']"
Michael Krone,"['University of Tübingen', 'University of Stuttgart']"
Alexandros Panagiotidis,['University of Stuttgart']
Tilo Pfannkuch,['University of Stuttgart']
Andrew Kennedy,['The University of Sydney']
An Nguyen,['The University of Sydney']
Tingyu Chen,['National Chiao Tung University Taiwan']
Sai Keung Wong,['National Chiao Tung University Taiwan']
Chica Matsueda,['Ochanomizu University']
John B McGhee,"['UNSW Sydney', 'University of Dundee']"
Angelica G Thompson-Butel,"[""St. Vincent's Hospital Sydney""]"
Steven Faux,"[""St. Vincent's Hospital Sydney"", 'UNSW Sydney']"
Pascal Bou-Haidar,"[""St Vincent's Private Hospital""]"
