id,name,institutions,url
81363600690,Stan Ruecker,"['University of Illinois Urbana-Champaign', 'IIT Research Institute', 'University of Alberta']",https://dl.acm.org/profile/81363600690
82458635157,Tim Causer,['University College London'],https://dl.acm.org/profile/82458635157
81548023973,Melissa M Terras,"['The University of Edinburgh', 'University College London']",https://dl.acm.org/profile/81548023973
99659643290,Yingqing Xu,['Tsinghua University'],https://dl.acm.org/profile/99659643290
81100264735,Michelle Xue Zhou,"['Utah State University', 'IBM Research - Almaden', 'IBM Research', 'International Business Machines', '+ 4']",https://dl.acm.org/profile/81100264735
81388592076,Jing Fan,"['Zhejiang University of Technology', 'College of Computer Science and Technology, Zhejiang University']",https://dl.acm.org/profile/81388592076
81508690581,Xiaoying Shi,['Zhejiang University of Technology'],https://dl.acm.org/profile/81508690581
81549289956,Zhan Zhou,['Zhejiang University of Technology'],https://dl.acm.org/profile/81549289956
81388598707,Ying Tang,['Zhejiang University of Technology'],https://dl.acm.org/profile/81388598707
81339498581,Xiaoping Fan,"['Central South University', 'Hunan University of Finance and Economics']",https://dl.acm.org/profile/81339498581
81549340856,Ruobo Xin,['Shandong University'],https://dl.acm.org/profile/81549340856
81548713556,Dongxu Duan,"['IBM Research - China', 'IBM China Company Limited']",https://dl.acm.org/profile/81548713556
81442597296,Weihong Qian,"['IBM China Company Limited', 'IBM Research - China', 'IBM Research']",https://dl.acm.org/profile/81442597296
81100484491,Shimei Pan,"['University of Maryland, College Park (UMD)', 'University of Maryland, Baltimore County (UMBC)', '+ 5']",https://dl.acm.org/profile/81100484491
99659747465,Lei Shi,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']",https://dl.acm.org/profile/99659747465
99659739027,Chuang Lin,"['Tsinghua University', 'Tsinghua National Laboratory for Information Science and Technology']",https://dl.acm.org/profile/99659739027
81549326956,Jared Shenson,['Vanderbilt University'],https://dl.acm.org/profile/81549326956
81504684109,Alark Joshi,['Boise State University'],https://dl.acm.org/profile/81504684109
81548522456,Xiaojuan Liu,['Beijing Normal University'],https://dl.acm.org/profile/81548522456
81100220220,Xia Lin,"['Drexel University', 'University of Maryland, College Park (UMD)', 'Pace University']",https://dl.acm.org/profile/81100220220
81474659807,Tuannhon Dang,['University of Illinois at Chicago'],https://dl.acm.org/profile/81474659807
81100304143,Leland K Wilkinson,"['University of Illinois at Chicago', 'Northwestern University']",https://dl.acm.org/profile/81100304143
81548739656,Li Yu,['The University of North Carolina at Charlotte'],https://dl.acm.org/profile/81548739656
99659918096,Peng Ye,['Soochow University'],https://dl.acm.org/profile/99659918096
81549269856,Chenming Pang,['East China Normal University'],https://dl.acm.org/profile/81549269856
81548735956,Roy Chi Kit Chan,['University of Macau'],https://dl.acm.org/profile/81548735956
81548349256,Kewei Yang,['Nanjing University'],https://dl.acm.org/profile/81548349256
81549407256,Jie Zhou,['Nanjing University'],https://dl.acm.org/profile/81549407256
99659380172,Yi Li,['Nanjing University'],https://dl.acm.org/profile/99659380172
81467663707,Xianlin Hu,['The University of North Carolina at Charlotte'],https://dl.acm.org/profile/81467663707
81435599709,Lane T Harrison,"['Worcester Polytechnic Institute', 'Tufts University', 'The University of North Carolina at Charlotte', '+ 1']",https://dl.acm.org/profile/81435599709
81548355456,Huaguang Song,"['University of the Pacific, California']",https://dl.acm.org/profile/81548355456
81100132506,Jinzhu Gao,"['University of the Pacific, California', 'University of Minnesota System', 'Oak Ridge National Laboratory', 'IEEE', 'The Ohio State University']",https://dl.acm.org/profile/81100132506
81548996956,Jiang Jian,['Tsinghua University'],https://dl.acm.org/profile/81548996956
81548461556,Guanmin Liu,['Tsinghua University'],https://dl.acm.org/profile/81548461556
81100227371,Chuncheng Lin,"['National Yang Ming Chiao Tung University', 'National Chiao Tung University Taiwan', 'University of Taipei', '+ 1']",https://dl.acm.org/profile/81100227371
81467645327,Xiaoyu Wang,['The University of North Carolina at Charlotte'],https://dl.acm.org/profile/81467645327
81100084142,Eric A. Bier,"['Palo Alto Research Center Incorporated', 'University of California, Berkeley']",https://dl.acm.org/profile/81100084142
81367590837,Thomas James Butkiewicz,"['University System of New Hampshire', 'University of New Hampshire Durham', 'The University of North Carolina at Charlotte']",https://dl.acm.org/profile/81367590837
81100028256,William Ribarsky,"['The University of North Carolina at Charlotte', 'IEEE', 'Georgia Institute of Technology', 'Georgia Tech Research Institute']",https://dl.acm.org/profile/81100028256
81414604610,Wenwen Dou,['The University of North Carolina at Charlotte'],https://dl.acm.org/profile/81414604610
81466645302,Cheongiao Pang,['University of Macau'],https://dl.acm.org/profile/81466645302
81487645436,Felix Hon Hou Cheang,['University of Macau'],https://dl.acm.org/profile/81487645436
81487644992,Takashi Yuki,['University of Tsukuba'],https://dl.acm.org/profile/81487644992
81542207356,Zhirong Zeng,['Chinese Academy of Sciences'],https://dl.acm.org/profile/81542207356
81487643126,Kun Wang,['Beijing Jiaotong University'],https://dl.acm.org/profile/81487643126
81487645949,Yuri Saito,['Ochanomizu University'],https://dl.acm.org/profile/81487645949
81487652857,Yasuhiko Sota,['Shimane University'],https://dl.acm.org/profile/81487652857
81487646379,Keisuke Yamamoto,['Shimane University'],https://dl.acm.org/profile/81487646379
81487643213,Souichiro Doi,[],https://dl.acm.org/profile/81487643213
81487645665,Yasuhisa Yamamoto,[],https://dl.acm.org/profile/81487645665
