name,url,institutions
Anne Carlew,Anne Carlew,['University of North Texas']
Jeremey Deutsch,Jeremey Deutsch,['University of North Texas']
Brandon Lane,Brandon Lane,['University of North Texas']
Michelle Holloway,Michelle Holloway,['Washington University in St. Louis']
Brendan John,Brendan John,"['University of Florida', 'Rochester Institute of Technology']"
Anahita Sanandaji,Anahita Sanandaji,['Oregon State University']
Cindy Marie Grimm,Cindy Marie Grimm,"['Oregon State University', 'Washington University in St. Louis', 'Texas A&M University', 'University of Central Florida', 'IEEE', '+ 2']"
Zheng Huang,Zheng Huang,['North Dakota State University']
Jed Limke,Jed Limke,['North Dakota State University']
Jun Kong,Jun Kong,"['North Dakota State University', 'The University of Texas at Dallas']"
Muye Yang,Muye Yang,['University of Macau']
Yina Li,Yina Li,['Nankai University']
Dongjin Li,Dongjin Li,['Nankai University']
Casey Haber,Casey Haber,['University of San Francisco']
Lyndonong Yiu,Lyndonong Yiu,['University of San Francisco']
Alark Joshi,Alark Joshi,"['University of San Francisco', 'Yale University', 'University of Maryland, Baltimore County (UMBC)', 'IEEE']"
Sophie Engle,Sophie Engle,"['University of San Francisco', 'University of California, Davis']"
Hui Lei,Hui Lei,['Changsha University of Science and Technology']
Cong Xie,Cong Xie,['Stony Brook University']
Pingping Shang,Pingping Shang,"['State Key Lab of CAD&CG, Zhejiang University']"
Fan Zhang,Fan Zhang,"['Massachusetts Institute of Technology', 'Zhejiang University of Technology']"
Weri Chen,Weri Chen,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Qunsheng Peng,Qunsheng Peng,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']"
Tobias Ruppert,Tobias Ruppert,['Fraunhofer Institute for Computer Graphics Research IGD']
Andreas Bannach,Andreas Bannach,['Fraunhofer Institute for Computer Graphics Research IGD']
Jürgen Bernard,Jürgen Bernard,"['University of Zurich', 'The University of British Columbia', 'Fraunhofer Institute for Computer Graphics Research IGD', '+ 1']"
Hendrik Lücke-Tieke,Hendrik Lücke-Tieke,"['Fraunhofer Institute for Computer Graphics Research IGD', 'Athena Research and Innovation Center in Information, Communication and Knowledge Technologies']"
Alex Ulmer,Alex Ulmer,['Fraunhofer Institute for Computer Graphics Research IGD']
Jörn Kohlhammer,Jörn Kohlhammer,"['Fraunhofer Institute for Computer Graphics Research IGD', 'Technical University of Darmstadt']"
Jiangen He,Jiangen He,"['Drexel University', 'University of Maryland, College Park (UMD)']"
Chaomei Chen,Chaomei Chen,"['Drexel University', 'Dalian University of Technology', 'Brunel University London', 'Glasgow Caledonian University', '+ 1']"
Wenqian Ji,Wenqian Ji,['Hohai University']
Yan Tang,Yan Tang,['Hohai University']
Pengju Ma,Pengju Ma,['Hohai University']
Shijie Tang,Shijie Tang,['Hohai University']
Zhipeng Fang,Zhipeng Fang,['Hohai University']
Xuan Li,Xuan Li,"['Baidu, Inc.']"
Tianjian Chen,Tianjian Chen,"['Baidu, Inc.']"
Lina Zhang,Lina Zhang,"['State Key Lab of CAD&CG, Zhejiang University']"
Kwan-Liu Ma,Kwan-Liu Ma,"['University of California, Davis', 'IEEE', 'NASA Langley Research Center', 'The University of Utah']"
Jinhui Yu,Jinhui Yu,"['State Key Lab of CAD&CG, Zhejiang University']"
Lu Xiong,Lu Xiong,['Tianjin University']
Kai Sun,Kai Sun,['Shanghai University']
Zongchao Guo,Zongchao Guo,['Shanghai University']
Iliesa S Delai,Iliesa S Delai,['Brigham Young University Hawaii']
Meilan Jin,Meilan Jin,['Brigham Young University']
Geoffrey M Draper,Geoffrey M Draper,"['Brigham Young University Hawaii', 'The University of Utah']"
Seimei Matsusaki,Seimei Matsusaki,['University of San Francisco']
Xi Han,Xi Han,['University of San Francisco']
Xin Kang,Xin Kang,"['Ningbo University of Technology', 'Peking University', 'National Taipei University of Technology', 'Beijing University of Technology']"
Yinan Li,Yinan Li,['Southeast University']
Jian Wang,Jian Wang,['Southeast University']
Daniel Wilches,Daniel Wilches,['University of Wyoming']
Amy Banić,Amy Banić,['University of Wyoming']
Sarah Hong,Sarah Hong,[]
Yuyi Liu,Yuyi Liu,[]
Zhao Xiao,Zhao Xiao,"['Tianjin University', 'East China Normal University']"
Jie Wu,Jie Wu,['Tongji University']
Guangxi Chen,Guangxi Chen,['Tongji University']
Wang Qian,Wang Qian,['Shanghai Jiao Tong University']
Xiao Bing,Xiao Bing,['Shanghai Jiao Tong University']
Vetria Laverne Byrd,Vetria Laverne Byrd,"['Purdue University', 'The University of Alabama at Birmingham']"
Joseph A Cottam,Joseph A Cottam,"['Pacific Northwest National Laboratory', 'Indiana University Bloomington']"
Koji Kainou,Koji Kainou,['University of Tsukuba']
Hotaka Takizawa,Hotaka Takizawa,"['University of Tsukuba', 'Toyohashi University of Technology']"
