author_id,author_name,institute_id,institute_name
99659194267,Denise  Junger,60015815,University of Stuttgart
99659194244,Isabel  Hagen,60015815,University of Stuttgart
99659194217,Robin  Horst,60015815,University of Stuttgart
99659194195,Lukas  Brand,60020927,Landshut University of Applied Sciences
99659194195,Lukas  Brand,60000765,University of Erlangen-Nuremberg
99659194195,Lukas  Brand,60015815,University of Stuttgart
99659194159,Armin  Müller,60015815,University of Stuttgart
99659194207,Benjamin  Weinert,60020306,University of Oldenburg
99659194207,Benjamin  Weinert,60015815,University of Stuttgart
99658770790,Patrick Cheong-Iao Pang,60118847,School of Computing and Information Systems
99658770790,Patrick Cheong-Iao Pang,60026553,University of Melbourne
99659194227,Bin  Pang,60022317,University of Macau
99659194112,Dominique  Tranquille,60007919,University of Brighton
81339530296,Gem  Stapleton,60007919,University of Brighton
81339530296,Gem  Stapleton,60010818,University of Kent
81384617071,Jim  Burton,60007919,University of Brighton
81100642599,Peter J Rodgers,60010818,University of Kent
81502795846,Thomas  Gründer,60018353,Technische Universität Dresden
81479655070,Martin  Kleinsteuber,60019722,Technical University of Munich
81479655070,Martin  Kleinsteuber,60116268,Mercateo Deutschland AG
81479655070,Martin  Kleinsteuber,60028717,Ludwig-Maximilians-University Munich
99659194250,Yuri  Sato,60007919,University of Brighton
81100097678,Mateja  Jamnik,60031101,University of Cambridge
81100097678,Mateja  Jamnik,60119999,Department of Computer Science and Technology
81100097678,Mateja  Jamnik,60027272,The University of Edinburgh
99658750308,Zohreh  Shams,60030480,University of Bath
99658750308,Zohreh  Shams,60031101,University of Cambridge
99658638715,Andrew  Blake,60007919,University of Brighton
99659010090,Francesco  Paduano,60027561,University of Illinois at Chicago
81551311756,Ronak  Etemadpour,60007033,City University of New York
81551311756,Ronak  Etemadpour,60006514,Oklahoma State University - Stillwater
81551311756,Ronak  Etemadpour,60032759,Oklahoma State University System
81551311756,Ronak  Etemadpour,60016458,Jacobs University Bremen
81474644982,Angus Graeme Forbes,60024941,"University of California, Santa Cruz"
81474644982,Angus Graeme Forbes,60009254,Purdue University
81474644982,Angus Graeme Forbes,60027561,University of Illinois at Chicago
81474644982,Angus Graeme Forbes,60010065,The University of Arizona
99659020506,Yun  Wang,60008592,Hong Kong University of Science and Technology
99659070996,Dongyu  Liu,60022195,Massachusetts Institute of Technology
99659070996,Dongyu  Liu,60008592,Hong Kong University of Science and Technology
81100337801,Huamin  Qu,60008592,Hong Kong University of Science and Technology
81100337801,Huamin  Qu,60000251,IEEE
81339515235,Qiong Luo,60008592,Hong Kong University of Science and Technology
81339515235,Qiong Luo,60025278,Tsinghua University
81484654594,Xiaojuan  Ma,60008592,Hong Kong University of Science and Technology
81484654594,Xiaojuan  Ma,60025778,"University of Michigan, Ann Arbor"
81556666156,Yang  Shi,60073652,Tongji University
81556666156,Yang  Shi,60017060,Central South University
81339540126,Yaoxue  Zhang,60025278,Tsinghua University
81339540126,Yaoxue  Zhang,60017060,Central South University
81408600293,Guojun  Wang,60025345,Guangzhou University
81408600293,Guojun  Wang,60017060,Central South University
81408600293,Guojun  Wang,60030398,Temple University
81408600293,Guojun  Wang,60031404,The University of Aizu
81408600293,Guojun  Wang,60008928,Hong Kong Polytechnic University
81470649905,Ronghua  Shi,60017060,Central South University
99658630885,Xing  Liang,60003892,Arizona State University
81100655096,Rainer C Splechtna,60006202,VRVis Research Center
81100655096,Rainer C Splechtna,60020304,"University of Maryland, College Park (UMD)"
99658770166,Alexandra  Diehl,60025525,University of Konstanz
99658770166,Alexandra  Diehl,60001563,University of Buenos Aires
99658770166,Alexandra  Diehl,60020304,"University of Maryland, College Park (UMD)"
81554544456,Mai H Elshehaly,60027090,Virginia Polytechnic Institute and State University
